1000Hz,2000HZ,4000Hz,8000Hz
363.0,727.0,1453.0,2905.0
363.0,726.0,1455.0,2908.0
363.0,726.0,1454.0,2905.0
363.0,727.0,1453.0,2906.0
363.0,727.0,1453.0,2912.0
363.0,726.0,1453.0,2912.0
362.0,727.0,1455.0,2906.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1454.0,2905.0
363.0,725.0,1453.0,2901.0
363.0,727.0,1452.0,2901.0
363.0,727.0,1453.0,2906.0
363.0,726.0,1454.0,2910.0
363.0,726.0,1454.0,2920.0
363.0,726.0,1453.0,2908.0
364.0,727.0,1453.0,2908.0
363.0,727.0,1453.0,2916.0
363.0,727.0,1453.0,2908.0
363.0,727.0,1453.0,2908.0
363.0,728.0,1453.0,2914.0
363.0,726.0,1455.0,2922.0
363.0,726.0,1455.0,2891.0
363.0,727.0,1453.0,2905.0
363.0,727.0,1454.0,2906.0
363.0,729.0,1455.0,2914.0
363.0,727.0,1456.0,2912.0
363.0,726.0,1453.0,2908.0
363.0,727.0,1454.0,2903.0
364.0,726.0,1454.0,2899.0
363.0,727.0,1454.0,2901.0
363.0,727.0,1453.0,2906.0
363.0,727.0,1453.0,2914.0
363.0,726.0,1454.0,2901.0
363.0,726.0,1453.0,2901.0
362.0,726.0,1455.0,2912.0
363.0,726.0,1454.0,2912.0
364.0,727.0,1455.0,2893.0
363.0,727.0,1455.0,2908.0
363.0,726.0,1454.0,2901.0
363.0,726.0,1456.0,2899.0
363.0,726.0,1454.0,2912.0
363.0,727.0,1454.0,2910.0
363.0,726.0,1454.0,2920.0
363.0,727.0,1453.0,2910.0
363.0,726.0,1453.0,2901.0
363.0,726.0,1454.0,2906.0
363.0,727.0,1454.0,2918.0
363.0,727.0,1454.0,2910.0
363.0,727.0,1454.0,2920.0
363.0,727.0,1454.0,2905.0
363.0,726.0,1454.0,2905.0
363.0,726.0,1454.0,2903.0
363.0,727.0,1457.0,2908.0
363.0,727.0,1455.0,2916.0
363.0,727.0,1453.0,2905.0
363.0,726.0,1454.0,2910.0
363.0,727.0,1454.0,2905.0
363.0,727.0,1452.0,2912.0
363.0,727.0,1454.0,2901.0
363.0,727.0,1454.0,2908.0
363.0,726.0,1454.0,2914.0
363.0,727.0,1455.0,2905.0
363.0,727.0,1455.0,2922.0
363.0,726.0,1454.0,2906.0
363.0,727.0,1457.0,2906.0
363.0,727.0,1454.0,2914.0
363.0,727.0,1453.0,2920.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1455.0,2889.0
363.0,725.0,1453.0,2893.0
363.0,727.0,1454.0,2906.0
363.0,727.0,1454.0,2891.0
363.0,727.0,1453.0,2901.0
