,frequencies,mean of std,sem of std
250Hz,250.0,0.2679976413799967,0.03154880202771371
500Hz,500.0,0.5565022016567337,0.09472474920752132
750Hz,750.0,0.7460876912489425,0.11256845656565086
1000Hz,1000.0,1.0362036953882368,0.15430290898010757
2000Hz,2000.0,1.8520282495241736,0.34849135046366414
3000Hz,3000.0,2.8295067088981636,0.14726352474295631
4000Hz,4000.0,3.8045449159052653,0.6311276921659724
5000Hz,5000.0,5.420367930688986,0.7014799905780728
6000Hz,6000.0,5.720449543972252,0.644494352214612
7000Hz,7000.0,7.506290957946423,0.8199291092490046
8000Hz,8000.0,7.499822036626824,0.856309820661428
